id,token,tag
0,На,O
1,клиническом,O
2,примере,O
3,продемонстрирован,O
4,результат,O
5,модифицированной,O
6,методики,O
7,хирургического,O
8,лечения,O
9,больной,O
10,с,O
11,синдромом,B-TERM
12,«,I-TERM
13,тяжелого,I-TERM
14,глаза,I-TERM
15,»,I-TERM
16,(,O
17,СТГ,B-TERM
18,),O
19,.,O
20,Пациентке,O
21,с,O
22,двусторонним,B-TERM
23,СТГ,I-TERM
24,ранее,O
25,была,O
26,выполнена,O
27,операция,B-TERM
28,по,O
29,классической,O
30,методике,O
31,на,O
32,правом,O
33,глазу,O
34,без,O
35,достижения,O
36,косметического,B-TERM
37,и,O
38,функционального,B-TERM
39,эффекта,I-TERM
40,.,O
41,На,O
42,втором,O
43,этапе,O
44,проведено,O
45,хирургическое,O
46,лечение,O
47,на,O
48,левом,O
49,глазу,O
50,.,O
51,Основное,O
52,техническое,O
53,решение,O
54,–,O
55,сшивание,O
56,верхней,O
57,и,O
58,наружной,O
59,прямых,B-TERM
60,мышц,I-TERM
61,между,O
62,собой,O
63,в,O
64,15,O
65,мм,O
66,от,O
67,их,O
68,анатомического,B-TERM
69,места,I-TERM
70,прикрепления,I-TERM
71,.,O
72,Достигнут,O
73,хороший,O
74,косметический,B-TERM
75,и,O
76,функциональный,B-TERM
77,результат,I-TERM
78,.,O
