id,token,tag
0,Индустрия,B-TERM
1,грота,B-TERM
2,Тешик,B-TERM
3,-,I-TERM
4,Таш,I-TERM
5,имеет,O
6,бесспорную,O
7,привязку,O
8,к,O
9,неандертальской,B-TERM
10,популяции,I-TERM
11,",",O
12,что,O
13,подтверждено,O
14,в,O
15,том,O
16,числе,O
17,и,O
18,генетическими,B-TERM
19,исследованиями,I-TERM
20,.,O
21,В,O
22,этой,O
23,связи,O
24,технологическое,O
25,изучение,O
26,каменной,B-TERM
27,коллекции,I-TERM
28,имеет,O
29,важнейшее,O
30,значение,O
31,.,O
32,Ранее,O
33,авторами,O
34,была,O
35,обработана,O
36,коллекция,O
37,Тешик,B-TERM
38,-,I-TERM
39,Таша,I-TERM
40,",",O
41,хранящаяся,O
42,в,O
43,МАЭ,B-TERM
44,РАН,I-TERM
45,(,O
46,Санкт,O
47,-,O
48,Петербург,O
49,),O
50,.,O
51,В,O
52,настоящей,O
53,статье,O
54,представлены,O
55,данные,B-TERM
56,обработки,O
57,коллекции,B-TERM
58,Тешик,I-TERM
59,-,I-TERM
60,Таша,I-TERM
61,",",O
62,хранящейся,O
63,в,O
64,НИИ,B-TERM
65,и,O
66,Музее,B-TERM
67,антропологии,I-TERM
68,им,O
69,.,O
70,Д,O
71,.,O
72,Н,O
73,.,O
74,Анучина,O
75,МГУ,O
76,",",O
77,в,O
78,основном,O
79,подтверждающие,O
80,выводы,O
81,предыдущего,O
82,исследования,O
83,.,O
84,В,O
85,результате,O
86,удалось,O
87,зафиксировать,O
88,безусловное,O
89,доминирование,O
90,центростремительной,B-TERM
91,модели,I-TERM
92,расщепления,I-TERM
93,камня,I-TERM
94,",",O
95,использование,O
96,которой,O
97,запечатлено,O
98,в,O
99,морфологии,B-TERM
100,изделий,I-TERM
101,всех,O
102,типологически,B-TERM
103,значимых,I-TERM
104,категорий,I-TERM
105,.,O
106,Вместе,O
107,в,O
108,тем,O
109,",",O
110,ряд,O
111,артефактов,B-TERM
112,указывает,O
113,на,O
114,существование,O
115,технологической,B-TERM
116,вариабельности,I-TERM
117,каменного,B-TERM
118,производства,I-TERM
119,в,O
120,индустрии,B-TERM
121,как,O
122,на,O
123,этапе,O
124,изготовления,O
125,сколов,B-TERM
126,-,I-TERM
127,заготовок,I-TERM
128,(,O
129,использование,O
130,подклиновидных,B-TERM
131,и,O
132,объемных,B-TERM
133,нуклеусов,I-TERM
134,),O
135,",",O
136,так,O
137,и,O
138,на,O
139,этапе,O
140,оформления,O
141,орудий,B-TERM
142,(,O
143,тронкированно,B-TERM
144,-,I-TERM
145,фасетированные,I-TERM
146,изделия,I-TERM
147,),O
148,.,O
149,При,O
150,этом,O
151,леваллуазское,B-TERM
152,расщепление,I-TERM
153,зафиксировано,O
154,в,O
155,материалах,O
156,коллекции,O
157,НИИ,B-TERM
158,и,O
159,Музея,B-TERM
160,антропологии,I-TERM
161,МГУ,I-TERM
162,в,O
163,таком,O
164,же,O
165,подчиненном,O
166,положении,O
167,",",O
168,что,O
169,и,O
170,в,O
171,коллекции,O
172,Кунсткамеры,B-TERM
173,.,O
174,Анализ,O
175,материалов,O
176,грота,B-TERM
177,Тешик,I-TERM
178,-,I-TERM
179,Таш,I-TERM
180,",",O
181,находящихся,O
182,в,O
183,Национальном,B-TERM
184,музее,I-TERM
185,истории,I-TERM
186,Узбекистана,I-TERM
187,в,O
188,Ташкенте,O
189,безусловно,O
190,расширят,O
191,наше,O
192,знание,O
193,о,O
194,навыках,O
195,неандертальцев,B-TERM
196,Центральной,B-TERM
197,Азии,I-TERM
198,в,O
199,каменном,B-TERM
200,производстве,I-TERM
201,.,O
