id,token,tag
0,Статья,
1,посвящена,
2,реакции,
3,советских,B-TERM
4,и,
5,белоэмигрантских,B-TERM
6,СМИ,I-TERM
7,на,
8,высылку,B-TERM
9,интеллигенции,I-TERM
10,из,
11,Советской,
12,России,
13,в,
14,1922,
15,г,
16,.,
17,Эмигрантскими,B-TERM
18,СМИ,I-TERM
19,высылка,B-TERM
20,за,
21,границу,
22,1922,
23,г,
24,.,
25,рассматривалась,
26,как,
27,репрессивная,B-TERM
28,мера,I-TERM
29,",",
30,направленная,
31,против,
32,оппозиционно,
33,настроенной,
34,в,
35,отношении,
36,к,
37,советскому,
38,режиму,
39,«,B-TERM
40,буржуазной,I-TERM
41,»,I-TERM
42,интеллигенции,I-TERM
43,.,
