id,token,tag
0,Рассматриваются,
1,вопросы,
2,ежемесячного,B-TERM
3,денежного,I-TERM
4,вознаграждения,I-TERM
5,труда,I-TERM
6,",",
7,иных,
8,государственных,B-TERM
9,гарантий,I-TERM
10,для,
11,судей,B-TERM
12,.,
13,Проблемы,
14,социальной,B-TERM
15,защиты,I-TERM
16,судей,B-TERM
17,возникали,
18,с,
19,момента,
20,появления,
21,первых,
22,судебных,B-TERM
23,учреждений,I-TERM
24,в,
25,Российском,
26,государстве,
27,и,
28,актуальны,
29,до,
30,настоящего,
31,времени,
32,.,
33,Сегодня,
34,предложенная,
35,реформа,B-TERM
36,системы,I-TERM
37,оплаты,I-TERM
38,труда,I-TERM
39,судьи,I-TERM
40,",",
41,введенная,
42,в,
43,действие,
44,в,
45,2013г,
46,.,
47,",",
48,имеет,
49,и,
50,достоинства,
51,и,
52,недостатки,
53,.,
54,Проводится,
55,историко,B-TERM
56,-,I-TERM
57,правовой,I-TERM
58,анализ,I-TERM
59,по,
60,проблеме,
61,государственной,B-TERM
62,защиты,I-TERM
63,судей,I-TERM
64,в,
65,России,
66,.,
