id,token,tag
0,В,O
1,работе,O
2,вводятся,O
3,и,O
4,исследуются,O
5,с,O
6,применением,O
7,теории,B-TERM
8,открытых,I-TERM
9,морфизмов,I-TERM
10,временные,B-TERM
11,расширения,I-TERM
12,поведенческих,B-TERM
13,эквивалентностей,I-TERM
14,параллельных,B-TERM
15,процессов,I-TERM
16,",",O
17,представленных,O
18,моделью,B-TERM
19,временных,B-TERM
20,стабильных,I-TERM
21,структур,I-TERM
22,событий,I-TERM
23,.,O
24,В,O
25,результате,O
26,построены,O
27,категориии,B-TERM
28,изучаемой,O
29,модели,B-TERM
30,и,O
31,получены,O
32,абстрактные,O
33,характеризации,O
34,временных,O
35,вариантов,O
36,эквивалентностей,B-TERM
37,(,O
38,трассовой,B-TERM
39,эквивалентности,I-TERM
40,Пратта,I-TERM
41,",",O
42,трассовой,B-TERM
43,",",O
44,тестовой,B-TERM
45,и,O
46,сильной,B-TERM
47,сохраняющей,I-TERM
48,историю,I-TERM
49,бисимуляционной,I-TERM
50,),O
51,в,O
52,семантике,B-TERM
53,временных,O
54,частичных,B-TERM
55,порядков,I-TERM
56,.,O
