id,token,tag
0,Рассматривается,O
1,модель,O
2,формирования,O
3,культуры,B-TERM
4,делового,I-TERM
5,общения,I-TERM
6,студентов,B-TERM
7,вуза,B-TERM
8,государственной,O
9,службы,O
10,",",O
11,разработанная,O
12,в,O
13,соответствии,O
14,с,O
15,Федеральным,B-TERM
16,государственным,I-TERM
17,образовательным,I-TERM
18,стандартом,I-TERM
19,высшего,I-TERM
20,профессионального,I-TERM
21,образования,I-TERM
22,по,O
23,направлению,B-TERM
24,подготовки,I-TERM
25,81100,O
26,Государственное,O
27,и,O
28,муниципальное,O
29,управление,O
30,(,O
31,квалификация,B-TERM
32,«,O
33,бакалавр,B-TERM
34,»,O
35,),O
36,.,O
37,Данная,O
38,модель,O
39,состоит,O
40,из,O
41,системы,B-TERM
42,педагогических,I-TERM
43,условий,I-TERM
44,",",O
45,необходимых,O
46,для,O
47,формирования,O
48,культуры,B-TERM
49,делового,I-TERM
50,общения,I-TERM
51,студентов,B-TERM
52,вуза,B-TERM
53,государственной,O
54,службы,O
55,.,O
