id,token,tag
0,В,O
1,статье,O
2,описана,O
3,система,O
4,подготовки,O
5,научно,B-TERM
6,-,I-TERM
7,инженерных,I-TERM
8,кадров,I-TERM
9,на,O
10,кафедре,B-TERM
11,физики,B-TERM
12,плазмы,I-TERM
13,физического,O
14,факультета,O
15,НГУ,O
16,с,O
17,активным,O
18,участием,O
19,в,O
20,этом,O
21,процессе,O
22,научных,B-TERM
23,сотрудников,I-TERM
24,плазменных,B-TERM
25,лабораторий,I-TERM
26,Института,B-TERM
27,ядерной,I-TERM
28,физики,I-TERM
29,им,O
30,.,O
31,Г,O
32,.,O
33,И,O
34,.,O
35,Будкера,O
36,СО,B-TERM
37,РАН,I-TERM
38,.,O
39,В,O
40,тексте,O
41,дано,O
42,представление,O
43,о,O
44,плазме,B-TERM
45,",",O
46,как,O
47,о,O
48,предмете,O
49,",",O
50,изучаемом,O
51,на,O
52,этой,O
53,кафедре,B-TERM
54,",",O
55,и,O
56,далее,O
57,отражена,O
58,следующая,O
59,информация,O
60,:,O
61,история,O
62,создания,O
63,кафедры,B-TERM
64,",",O
65,читаемые,O
66,по,O
67,кафедре,B-TERM
68,спецкурсы,O
69,",",O
70,тематика,O
71,бакалаврских,B-TERM
72,и,O
73,магистерских,B-TERM
74,диссертаций,I-TERM
75,",",O
76,достижения,O
77,выпускников,O
78,кафедры,B-TERM
79,в,O
80,последнем,O
81,десятилетии,O
82,.,O
83,С,O
84,учетом,O
85,основной,O
86,тематики,O
87,научных,O
88,исследований,O
89,в,O
90,плазменных,B-TERM
91,лабораториях,I-TERM
92,ИЯФ,B-TERM
93,в,O
94,тексте,O
95,представлен,O
96,обзор,O
97,работ,O
98,на,O
99,работающих,O
100,в,O
101,Институте,B-TERM
102,плазменных,B-TERM
103,установках,I-TERM
104,и,O
105,обозначена,O
106,перспектива,O
107,создания,O
108,линейной,B-TERM
109,плазменной,I-TERM
110,ловушки,I-TERM
111,следующего,O
112,поколения,O
113,(,O
114,ГДМЛ,B-TERM
115,),O
116,.,O
117,Особое,O
118,внимание,O
119,уделено,O
120,перспективе,O
121,использования,O
122,открытых,B-TERM
123,магнитных,I-TERM
124,систем,I-TERM
125,для,O
126,удержания,B-TERM
127,горячей,B-TERM
128,плазмы,I-TERM
129,применительно,O
130,к,O
131,решению,O
132,проблемы,O
133,управляемого,B-TERM
134,термоядерного,I-TERM
135,синтеза,I-TERM
136,",",O
137,поскольку,O
138,эти,O
139,системы,O
140,должны,O
141,послужить,O
142,полем,O
143,основной,O
144,деятельности,O
145,будущих,O
146,выпускников,O
147,кафедры,B-TERM
148,физики,B-TERM
149,плазмы,I-TERM
150,.,O
