id,token,tag
0,Предпринята,O
1,попытка,O
2,анализа,O
3,психосемантического,B-TERM
4,метода,I-TERM
5,множественной,I-TERM
6,идентификации,I-TERM
7,для,O
8,изучения,B-TERM
9,просоциального,B-TERM
10,поведения,I-TERM
11,.,O
12,Перспектива,O
13,использования,O
14,метода,B-TERM
15,множественных,I-TERM
16,идентификаций,I-TERM
17,к,O
18,исследованию,O
19,феномена,O
20,помогающего,B-TERM
21,поведения,I-TERM
22,может,O
23,быть,O
24,связана,O
25,с,O
26,возможностью,O
27,исследовать,O
28,системы,B-TERM
29,значений,I-TERM
30,",",O
31,описывающих,O
32,содержательную,O
33,структуру,B-TERM
34,базовых,I-TERM
35,поступков,I-TERM
36,.,O
37,Эти,O
38,структуры,B-TERM
39,",",O
40,являясь,O
41,наиболее,O
42,устойчивыми,O
43,и,O
44,характерными,O
45,для,O
46,определенной,O
47,группы,O
48,испытуемых,O
49,",",O
50,позволяют,O
51,увидеть,O
52,возможные,O
53,основания,O
54,формирования,O
55,помогающего,B-TERM
56,поведения,I-TERM
57,.,O
58,Специфика,O
59,предложенной,O
60,методики,B-TERM
61,заключается,O
62,в,O
63,том,O
64,",",O
65,что,O
66,она,O
67,дает,O
68,возможность,O
69,проследить,O
70,особенности,O
71,понимания,O
72,",",O
73,оценки,O
74,поступка,O
75,в,O
76,контексте,O
77,",",O
78,конкретного,O
79,действия,O
80,.,O
