id,token,tag
0,Одним,O
1,из,O
2,наиболее,O
3,частых,O
4,(,O
5,около,O
6,70,O
7,%,O
8,пациентов,O
9,с,O
10,сахарным,B-TERM
11,диабетом,I-TERM
12,),O
13,и,O
14,серьезных,O
15,осложнений,O
16,сахарного,B-TERM
17,диабета,I-TERM
18,является,O
19,синдром,B-TERM
20,диабетической,I-TERM
21,стопы,I-TERM
22,(,O
23,СДС,B-TERM
24,),O
25,.,O
26,Обследовано,O
27,92,O
28,больных,O
29,с,O
30,СДС,B-TERM
31,.,O
32,Сформировано,O
33,три,O
34,группы,O
35,пациентов,O
36,:,O
37,1,O
38,-,O
39,я,O
40,группа,O
41,больных,O
42,находилась,O
43,на,O
44,традиционной,O
45,терапии,B-TERM
46,",",O
47,2,O
48,-,O
49,я,O
50,группа,O
51,лечилась,O
52,с,O
53,использованием,O
54,традиционного,O
55,лечения,O
56,плюс,O
57,курс,O
58,дискретного,O
59,модифицированного,O
60,плазмафереза,B-TERM
61,",",O
62,3,O
63,-,O
64,я,O
65,-,O
66,традиционное,O
67,лечение,O
68,плюс,O
69,курс,O
70,аппаратного,O
71,лимфоцитафереза,B-TERM
72,.,O
73,Показана,O
74,наибольшая,O
75,эффективность,O
76,лечения,O
77,в,O
78,3,O
79,-,O
80,й,O
81,группе,O
82,:,O
83,регенераторный,B-TERM
84,тип,I-TERM
85,цитограммы,I-TERM
86,наблюдался,O
87,у,O
88,89,O
89,",",O
90,4,O
91,%,O
92,пациентов,O
93,",",O
94,во,O
95,2,O
96,-,O
97,й,O
98,группе,O
99,-,O
100,у,O
101,74,O
102,",",O
103,2,O
104,%,O
105,",",O
106,в,O
107,1,O
108,-,O
109,й,O
110,-,O
111,у,O
112,53,O
113,",",O
114,8,O
115,%,O
116,пациентов,O
117,.,O
