id,token,tag
0,Фортификационные,B-TERM
1,памятники,I-TERM
2,Восточного,B-TERM
3,Приморья,I-TERM
4,до,O
5,сих,O
6,пор,O
7,практически,O
8,не,O
9,изучены,O
10,.,O
11,В,O
12,целях,O
13,решения,O
14,данной,O
15,проблемы,O
16,исследованы,O
17,городища,B-TERM
18,",",O
19,укрепления,B-TERM
20,и,O
21,защитные,B-TERM
22,стены,I-TERM
23,бассейна,B-TERM
24,Маргаритовки,B-TERM
25,.,O
26,Выявлено,O
27,четыре,O
28,разнотипных,O
29,укрепленных,B-TERM
30,памятника,I-TERM
31,:,O
32,горное,B-TERM
33,Щербаковское,I-TERM
34,городище,I-TERM
35,чжурчжэньского,I-TERM
36,государства,I-TERM
37,Восточное,B-TERM
38,Ся,I-TERM
39,XIII,B-TERM
40,в,I-TERM
41,.,I-TERM
42,",",O
43,а,O
44,также,O
45,относящиеся,O
46,к,O
47,эпохе,B-TERM
48,Средневековья,I-TERM
49,мысовое,B-TERM
50,городище,I-TERM
51,Сенокосное,I-TERM
52,-,I-TERM
53,1,I-TERM
54,",",O
55,сопоставимое,O
56,с,O
57,польцевской,O
58,культурой,O
59,",",O
60,мысовое,B-TERM
61,городище,I-TERM
62,Маргаритово,I-TERM
63,",",O
64,Каменный,B-TERM
65,вал,I-TERM
66,в,O
67,устье,B-TERM
68,Маргаритовки,B-TERM
69,.,O
70,Геофизическая,B-TERM
71,характеристика,I-TERM
72,территории,I-TERM
73,–,O
74,замыкание,B-TERM
75,верховьев,I-TERM
76,Маргаритовки,B-TERM
77,на,O
78,г,O
79,.,O
80,Перевальная,O
81,с,O
82,расположенной,O
83,на,O
84,ней,O
85,одноименной,O
86,контрольно,B-TERM
87,-,I-TERM
88,пропускной,I-TERM
89,средневековой,I-TERM
90,крепостью,I-TERM
91,и,O
92,выход,O
93,устья,B-TERM
94,реки,I-TERM
95,в,O
96,бухту,O
97,Моряк,O
98,-,O
99,Рыболов,O
100,–,O
101,свидетельствует,O
102,о,O
103,функционировании,O
104,здесь,O
105,сухопутной,O
106,дороги,O
107,",",O
108,идущей,O
109,с,O
110,западной,O
111,стороны,O
112,Сихотэ,O
113,-,O
114,Алиня,O
115,через,O
116,г,O
117,.,O
118,Перевальная,O
119,в,O
120,сторону,O
121,Японского,O
122,моря,O
123,.,O
124,Сухопутная,O
125,и,O
126,морская,O
127,дорожнотранспортные,B-TERM
128,артерии,I-TERM
129,требовали,O
130,охраны,O
131,и,O
132,контроля,O
133,",",O
134,что,O
135,подтверждается,O
136,возведением,O
137,длинного,O
138,каменного,B-TERM
139,вала,I-TERM
140,по,O
141,горному,B-TERM
142,отрогу,I-TERM
143,Сихотэ,B-TERM
144,-,I-TERM
145,Алиня,I-TERM
146,в,O
147,устье,B-TERM
148,Маргаритовки,B-TERM
149,.,O
