id,token,tag,wiki_id
0,В,O,
1,статье,O,
2,выполнен,O,
3,анализ,O,
4,работ,O,
5,по,O,
6,прогнозированию,B-TERM,
7,изменений,I-TERM,
8,рынка,I-TERM,
9,ценных,I-TERM,
10,бумаг,I-TERM,
11,на,O,
12,основе,O,
13,методов,B-TERM,
14,анализа,I-TERM,
15,текстовых,I-TERM,
16,данных,I-TERM,
17,.,O,
18,Рассмотрена,O,
19,роль,O,
20,методов,B-TERM,
21,интеллектуального,I-TERM,
22,анализа,I-TERM,
23,текста,I-TERM,
24,в,O,
25,автоматизации,B-TERM,Q184199
26,исследований,I-TERM,
27,на,O,
28,основе,O,
29,традиционных,O,
30,методологий,B-TERM,
31,прогнозирования,I-TERM,
32,:,O,
33,техническом,B-TERM,Q235038
34,и,O,
35,фундаментальном,B-TERM,Q467042
36,анализе,I-TERM,
37,.,O,
38,Сделан,O,
39,вывод,O,
40,об,O,
41,актуальности,O,
42,и,O,
43,необходимости,O,
44,расширения,O,
45,традиционных,O,Q1799072
46,методов,O,
47,средствами,O,
48,интеллектуального,B-TERM,Q676880
49,анализа,I-TERM,
50,текстовых,O,
51,сообщений,O,
52,новостных,O,
53,данных,O,
54,",",O,
55,повышающего,O,
56,эффективность,B-TERM,
57,прогноза,I-TERM,
58,котировок,I-TERM,
59,рынка,I-TERM,
60,ценных,I-TERM,
61,бумаг,I-TERM,
62,.,O,
63,Обоснована,O,
64,необходимость,O,
65,учета,O,
66,данных,O,
67,",",O,
68,извлекаемых,O,
69,из,O,
70,новостных,O,
71,и,O,
72,текстовых,O,
73,сообщений,O,
74,",",O,
75,характеризующих,O,
76,эмоциональную,B-TERM,
77,окраску,I-TERM,
78,событий,I-TERM,
79,",",O,
80,влияющих,O,
81,на,O,
82,изменения,O,
83,рынка,O,
84,(,O,
85,поведенческая,B-TERM,Q647525
86,экономика,I-TERM,
87,",",O,
88,эмоциональный,B-TERM,Q2271421
89,анализ,I-TERM,
90,),O,
91,.,O,
92,Сделан,O,
93,обзор,O,
94,применения,O,
95,методов,B-TERM,
96,анализа,I-TERM,
97,и,O,
98,прогнозирования,B-TERM,
99,изменений,I-TERM,
100,рынка,I-TERM,
101,ценных,I-TERM,
102,бумаг,I-TERM,
103,",",O,
104,основанных,O,
105,на,O,
106,таких,O,
107,моделях,O,
108,",",O,
109,как,O,
110,машинное,B-TERM,Q2539
111,обучение,I-TERM,
112,",",O,
113,нейронные,B-TERM,Q43283
114,сети,I-TERM,
115,",",O,
116,нечеткая,B-TERM,Q224821
117,логика,I-TERM,
118,",",O,
119,метод,B-TERM,Q282453
120,опорных,I-TERM,
121,векторов,I-TERM,
122,регрессии,I-TERM,
123,",",O,
124,генетического,B-TERM,Q629498
125,программирования,I-TERM,
126,сетевых,I-TERM,
127,приложений,I-TERM,
128,и,O,
129,др,O,
130,.,O,
