id,token,tag
0,Исследуется,
1,влияние,
2,средств,B-TERM
3,массовой,I-TERM
4,информации,I-TERM
5,на,
6,процесс,
7,формирования,
8,социального,B-TERM
9,времени,I-TERM
10,.,
11,Раскрывается,
12,механизм,
13,создания,
14,временных,
15,«,B-TERM
16,новостных,I-TERM
17,пиков,I-TERM
18,»,I-TERM
19,",",
20,ведущих,
21,к,
22,ускорению,
23,социального,B-TERM
24,ритма,I-TERM
25,.,
26,Автор,
27,приходит,
28,к,
29,выводу,
30,о,
31,том,
32,",",
33,что,
34,ускорение,
35,социального,B-TERM
36,времени,I-TERM
37,происходит,
38,искусственно,
39,посредством,
40,конструирования,
41,журналистами,
42,микрособытий,B-TERM
43,",",
44,тематически,
45,дробящих,
46,сообщение,B-TERM
47,о,
48,сенсационном,B-TERM
49,происшествии,I-TERM
50,.,
