id,token,tag
0,Рассматривается,
1,правовая,B-TERM
2,природа,I-TERM
3,договора,B-TERM
4,о,I-TERM
5,развитии,I-TERM
6,застроенной,I-TERM
7,территории,I-TERM
8,.,
9,Анализируются,
10,различные,
11,мнения,
12,по,
13,этому,
14,вопросу,
15,.,
16,Сделан,
17,вывод,
18,",",
19,что,
20,договор,B-TERM
21,о,I-TERM
22,развитии,I-TERM
23,застроенной,I-TERM
24,территории,I-TERM
25,является,
26,градостроительным,B-TERM
27,договором,I-TERM
28,",",
29,заключаемым,
30,с,
31,целью,
32,осуществления,
33,градостроительной,B-TERM
34,деятельности,I-TERM
35,.,
36,Предпринята,
37,попытка,
38,выявить,
39,особенности,
40,градостроительного,B-TERM
41,договора,I-TERM
42,на,
43,примере,
44,договора,B-TERM
45,о,I-TERM
46,развитии,I-TERM
47,застроенной,I-TERM
48,территории,I-TERM
49,.,
50,Такой,
51,договор,B-TERM
52,отличает,
53,особый,
54,субъектный,B-TERM
55,состав,I-TERM
56,.,
57,Одной,
58,из,
59,сторон,
60,договора,B-TERM
61,всегда,
62,является,
63,орган,B-TERM
64,местного,I-TERM
65,самоуправления,I-TERM
66,",",
67,действующий,
68,в,
69,публичных,B-TERM
70,интересах,I-TERM
71,и,
72,в,
73,пределах,
74,своей,
75,компетенции,B-TERM
76,.,
77,Он,
78,выступает,
79,гарантом,B-TERM
80,обеспечения,
81,конституционных,B-TERM
82,прав,I-TERM
83,граждан,
84,на,
85,жилище,B-TERM
86,",",
87,поскольку,
88,градостроительный,B-TERM
89,договор,I-TERM
90,непосредственно,
91,затрагивает,
92,интересы,
93,третьих,B-TERM
94,лиц,I-TERM
95,",",
96,не,
97,являющихся,
98,стороной,
99,такого,
100,договора,B-TERM
101,.,
99,Ими,
100,являются,
101,граждане,B-TERM
102,",",
103,выселяемые,
104,из,
105,жилых,B-TERM
106,помещений,I-TERM
107,",",
108,расположенных,
109,в,
110,многоквартирных,B-TERM
111,домах,I-TERM
112,",",
113,признанных,
114,ветхими,
115,и,
116,аварийными,
117,",",
118,и,
119,расположенных,
120,на,
121,территории,
122,",",
123,подлежащей,
124,развитию,
125,.,
