id,token,tag
0,Анализируются,
1,функциональные,B-TERM
2,и,
3,когнитивные,B-TERM
4,особенности,I-TERM
5,глагольно,B-TERM
6,-,I-TERM
7,наречных,I-TERM
8,лексем,I-TERM
9,типа,
10,come,
11,back,
12,в,
13,сравнении,
14,с,
15,другими,
16,типами,
17,аналитических,B-TERM
18,лексем,I-TERM
19,английского,
20,языка,
21,.,
22,Особое,
23,внимание,
24,уделяется,
25,производным,B-TERM
26,номинативным,I-TERM
27,единицам,I-TERM
28,типа,
29,comeback,
30,",",
31,worn,
32,-,
33,out,
34,",",
35,run,
36,-,
37,down,
38,",",
39,bystander,
40,",",
41,make,
42,a,
43,comeback,
44,и,
45,др,
46,.,
47,",",
48,которые,
49,образуются,
50,на,
51,основе,
52,глагольно,B-TERM
53,-,I-TERM
54,наречных,I-TERM
55,лексем,I-TERM
56,.,
57,Функциональная,B-TERM
58,гибкость,I-TERM
59,глагольно,B-TERM
60,-,I-TERM
61,наречных,I-TERM
62,лексем,I-TERM
63,и,
64,их,
65,подобие,
66,цельнооформленным,B-TERM
67,номинативным,I-TERM
68,единицам,I-TERM
69,изучаются,
70,на,
71,материале,
72,публицистических,B-TERM
73,текстов,I-TERM
74,некоторых,
75,британских,
76,общенациональных,
77,газет,
78,.,
