id,token,tag
0,Для,O
1,численного,B-TERM
2,решения,I-TERM
3,уравнения,B-TERM
4,Пуассона,I-TERM
5,с,O
6,краевыми,B-TERM
7,условиями,I-TERM
8,Неймана,I-TERM
9,построен,O
10,экономичный,O
11,—,O
12,попеременно,B-TERM
13,-,I-TERM
14,треугольный,I-TERM
15,метод,I-TERM
16,в,O
17,подпространстве,B-TERM
18,разрешимости,I-TERM
19,.,O
20,Построение,O
21,и,O
22,исследование,O
23,метода,B-TERM
24,основаны,O
25,на,O
26,использовании,O
27,сопряженно,B-TERM
28,-,I-TERM
29,операторной,I-TERM
30,структуры,I-TERM
31,оператора,B-TERM
32,задачи,I-TERM
33,.,O
