id,token,tag,wiki_id
0,На,,
1,основании,,
2,личного,,
3,опыта,,
4,представлено,,
5,описание,,
6,образовательного,B-TERM,
7,процесса,I-TERM,
8,в,,
9,специализированной,B-TERM,
10,естественно,I-TERM,
11,-,I-TERM,
12,научной,I-TERM,
13,школе,I-TERM,
14,для,,
15,старшеклассников,B-TERM,
16,Республики,,
17,Корея,,
18,Korea,,
19,Science,,
20,Academy,,
21,of,,
22,Korea,,
23,Advanced,,
24,Institute,,
25,of,,
26,Science,,
27,and,,
28,Technology,,
29,(,,
30,KSA,,
31,of,,
32,KAIST,,
33,),,
34,",",,
35,ставшей,,
36,в,,
37,последнее,,
38,время,,
39,одной,,
40,из,,
41,лучших,,
42,школ,B-TERM,
43,данного,,
44,профиля,B-TERM,
45,в,,
46,мире,,
47,.,,
48,Проведен,,
49,краткий,O,
50,анализ,B-TERM,
51,структуры,B-TERM,
52,и,,
53,содержания,B-TERM,
54,образовательных,B-TERM,
55,программ,I-TERM,
56,по,,
57,физике,B-TERM,
58,",",,
59,описана,,
60,организация,,
61,научно,B-TERM,
62,-,I-TERM,
63,исследовательской,I-TERM,
64,работы,I-TERM,
65,со,,
66,школьниками,B-TERM,
67,по,,
68,естественно,B-TERM,
69,-,I-TERM,
70,научным,I-TERM,
71,дисциплинам,I-TERM,
72,.,,
73,Описаны,,
74,структурные,B-TERM,
75,преобразования,I-TERM,
76,в,,
77,управлении,,
78,академией,B-TERM,
79,и,,
80,план,,
81,перспективных,,
82,направлений,,
83,работы,,
84,на,,
85,ближайшие,,
86,годы,,
87,.,,
88,Проведено,,
89,сравнение,,
90,программ,B-TERM,
91,обучения,I-TERM,
92,физике,B-TERM,
93,в,,
94,KSA,,
95,of,,
96,KAIST,,
97,и,,
98,в,,
99,СУНЦ,O,
100,НГУ,,
101,.,,
102,Делаются,,
103,выводы,,
104,о,,
105,мировых,,
106,тенденциях,,
107,в,,
108,области,,
109,специализированного,B-TERM,
110,естественно,I-TERM,
111,-,I-TERM,
112,научного,I-TERM,
113,образования,I-TERM,
114,и,,
115,перспективных,,
116,преобразованиях,,
117,в,,
118,российских,,
119,школах,B-TERM,
120,такого,,
121,профиля,B-TERM,
122,.,,
