id,token,tag
0,Рассматриваются,O
1,роль,O
2,и,O
3,место,O
4,отзыва,O
5,по,O
6,прочитанной,O
7,книге,O
8,как,O
9,средства,O
10,повышения,O
11,речевой,B-TERM
12,компетенции,I-TERM
13,детей,B-TERM
14,на,O
15,уроках,B-TERM
16,русского,B-TERM
17,языка,I-TERM
18,",",O
19,обучающихся,B-TERM
20,на,I-TERM
21,дому,I-TERM
22,.,O
23,Эта,O
24,проблема,O
25,особенно,O
26,актуальна,O
27,",",O
28,поскольку,O
29,речевые,B-TERM
30,навыки,I-TERM
31,и,O
32,умения,O
33,данной,O
34,категории,O
35,школьников,B-TERM
36,находятся,O
37,в,O
38,явном,O
39,проигрыше,O
40,в,O
41,сравнении,O
42,с,O
43,их,O
44,остальными,O
45,сверстниками,O
46,",",O
47,посещающими,O
48,занятия,B-TERM
49,в,O
50,классе,B-TERM
51,.,O
