id,token,tag
0,Представлены,O
1,результаты,O
2,исследований,O
3,развития,O
4,поперечной,B-TERM
5,неустойчивости,I-TERM
6,сильноточного,B-TERM
7,релятивистского,I-TERM
8,электронного,I-TERM
9,пучка,I-TERM
10,в,O
11,линейном,B-TERM
12,индукционном,I-TERM
13,ускорителе,I-TERM
14,(,O
15,ЛИУ,B-TERM
16,),O
17,на,O
18,энергию,B-TERM
19,электронов,I-TERM
20,до,O
21,5,O
22,МэВ,B-TERM
23,",",O
24,созданном,O
25,в,O
26,ИЯФ,B-TERM
27,СО,B-TERM
28,РАН,I-TERM
29,совместно,O
30,с,O
31,РФЯЦ,B-TERM
32,ВНИИТФ,I-TERM
33,.,O
34,Эти,O
35,результаты,O
36,получены,O
37,с,O
38,помощью,O
39,программного,B-TERM
40,комплекса,I-TERM
41,",",O
42,позволяющего,O
43,моделировать,O
44,динамику,O
45,развития,O
46,неустойчивости,B-TERM
47,",",O
48,а,O
49,также,O
50,рассчитывать,O
51,средний,O
52,инкремент,B-TERM
53,ее,O
54,развития,O
55,по,O
56,длине,O
57,ускорителя,B-TERM
58,.,O
59,Комплекс,O
60,состоит,O
61,из,O
62,четырех,O
63,основных,O
64,частей,O
65,.,O
66,Первая,O
67,из,O
68,них,O
69,",",O
70,выполненная,O
71,на,O
72,основе,O
73,трехмерной,B-TERM
74,модели,I-TERM
75,электродинамической,B-TERM
76,системы,I-TERM
77,ускоряющего,B-TERM
78,модуля,I-TERM
79,ЛИУ,B-TERM
80,",",O
81,позволяет,O
82,рассчитывать,O
83,основные,O
84,характеристики,O
85,собственных,O
86,электромагнитных,B-TERM
87,колебаний,I-TERM
88,такого,O
89,модуля,B-TERM
90,",",O
91,вторая,O
92,и,O
93,третья,O
94,части,O
95,созданы,O
96,для,O
97,нахождения,O
98,трехмерных,B-TERM
99,ускоряющих,I-TERM
100,электрических,I-TERM
101,и,O
102,фокусирующих,B-TERM
103,магнитных,I-TERM
104,полей,I-TERM
105,соответственно,O
106,.,O
107,В,O
108,последней,O
109,части,O
110,комплекса,O
111,производится,O
112,решение,O
113,системы,B-TERM
114,обыкновенных,I-TERM
115,дифференциальных,I-TERM
116,уравнений,I-TERM
117,",",O
118,описывающих,O
119,как,O
120,движение,O
121,макрочастиц,B-TERM
122,пучка,B-TERM
123,в,O
124,электрических,B-TERM
125,и,O
126,магнитных,B-TERM
127,полях,I-TERM
128,",",O
129,создаваемых,O
130,в,O
131,том,O
132,числе,O
133,и,O
134,собственными,O
135,модами,B-TERM
136,ускорительных,I-TERM
137,модулей,I-TERM
138,",",O
139,так,O
140,и,O
141,возбуждение,B-TERM
142,полей,I-TERM
143,этих,O
144,мод,B-TERM
145,самим,O
146,пучком,B-TERM
147,электронов,I-TERM
148,.,O
149,Адекватность,O
150,используемых,O
151,физических,B-TERM
152,моделей,I-TERM
153,",",O
154,заложенных,O
155,в,O
156,программный,B-TERM
157,комплекс,I-TERM
158,",",O
159,тестировалась,O
160,путем,O
161,сравнения,O
162,спектров,B-TERM
163,колебаний,I-TERM
164,полей,I-TERM
165,в,O
166,ускорительных,B-TERM
167,модулях,I-TERM
168,",",O
169,полученных,O
170,в,O
171,расчетах,O
172,и,O
173,зарегистрированных,O
174,в,O
175,эксперименте,O
176,.,O
177,На,O
178,основе,O
179,полученных,O
180,данных,O
181,выявлены,O
182,основные,O
183,закономерности,O
184,развития,O
185,поперечной,B-TERM
186,неустойчивости,I-TERM
187,пучка,B-TERM
188,в,O
189,диапазоне,B-TERM
190,частот,I-TERM
191,Δf,B-TERM
192,#ERROR!,O
193,0,O
194,",",O
195,3,O
196,–,O
197,1,O
198,",",O
199,1,O
200,ГГц,B-TERM
201,",",O
202,а,O
203,также,O
204,предложены,O
205,возможные,O
206,способы,O
207,подавления,O
208,этой,O
209,неустойчивости,B-TERM
210,в,O
211,ЛИУ,B-TERM
212,.,O
