id,token,tag
0,Молодежные,B-TERM
1,субкультуры,I-TERM
2,являются,O
3,важным,O
4,фактором,B-TERM
5,социализации,I-TERM
6,",",O
7,в,O
8,настоящее,O
9,время,O
10,растет,O
11,популярность,O
12,среди,O
13,российской,O
14,молодежи,O
15,субкультуры,B-TERM
16,любителей,O
17,японских,O
18,мультфильмов,O
19,(,O
20,аниме,O
21,),O
22,и,O
23,комиксов,O
24,(,O
25,манги,O
26,),O
27,–,O
28,отаку,O
29,.,O
30,Целью,O
31,исследования,O
32,являлся,O
33,анализ,O
34,трансформации,B-TERM
35,идентичности,I-TERM
36,подростков,O
37,в,O
38,субкультуре,B-TERM
39,отаку,I-TERM
40,.,O
41,Обнаружены,O
42,особенности,O
43,трансформационного,B-TERM
44,процесса,I-TERM
45,:,O
46,1,O
47,),O
48,позитивные,O
49,(,O
50,проявляющиеся,O
51,в,O
52,росте,B-TERM
53,личности,I-TERM
54,–,O
55,расширении,O
56,интересов,O
57,",",O
58,постановке,O
59,целей,O
60,и,O
61,решении,O
62,задач,O
63,",",O
64,увеличении,O
65,социальных,B-TERM
66,контактов,I-TERM
67,),O
68,;,O
69,2,O
70,),O
71,нейтральные,O
72,(,O
73,проявляющиеся,O
74,в,O
75,стойкости,O
76,",",O
77,совладании,O
78,с,O
79,жизненными,O
80,трудностями,O
81,и,O
82,неудачами,O
83,),O
84,;,O
85,3,O
86,),O
87,негативные,O
88,(,O
89,заключающиеся,O
90,в,O
91,сужении,B-TERM
92,личности,I-TERM
93,",",O
94,асоциальном,B-TERM
95,поведении,I-TERM
96,",",O
97,снижении,O
98,успеваемости,O
99,в,O
100,учебном,O
101,заведении,O
102,),O
103,.,O
