id,token,tag,nested_1,nested_2,wiki_id
0,Экспериментальное,O,,,
1,исследование,O,,,
2,точности,O,,,
3,методов,B-TERM,B-TERM,,Q1799072:3
4,прогноза,I-TERM,,,
5,",",O,,,
6,базирующихся,O,,,
7,на,O,,,
8,архиваторах,B-TERM,,,Q25303924:8
9,В,O,,,
10,теории,B-TERM,,,"Q131222:10,11"
11,информации,I-TERM,,,
12,известно,O,,,
13,",",O,,,
14,что,O,,,
15,методы,B-TERM,B-TERM,,Q1799072:15
16,сжатия,I-TERM,B-TERM,,"Q2493:16,17"
17,данных,I-TERM,I-TERM,,
18,могут,O,,,
19,быть,O,,,
20,использованы,O,,,
21,для,O,,,
22,прогнозирования,B-TERM,,,
23,стационарных,I-TERM,,,
24,процессов,I-TERM,,,
25,.,O,,,
26,В,O,,,
27,данной,O,,,
28,работе,O,,,
29,предложен,O,,,
30,базирующийся,O,,,
31,на,O,,,
32,архиваторах,B-TERM,,,Q25303924:32
33,алгоритм,B-TERM,B-TERM,,
34,прогнозирования,I-TERM,,,
35,временных,I-TERM,B-TERM,,"Q186588:35,36"
36,рядов,I-TERM,I-TERM,B-TERM,
37,и,O,,,
38,проведено,O,,,
39,экспериментальное,O,,,
40,исследование,O,,,
41,его,O,,,
42,эффективности,B-TERM,,,Q1034411:42
43,.,O,,,
44,В,O,,,
45,процессе,O,,,
46,работы,O,,,
47,описанного,O,,,
48,алгоритма,B-TERM,,,
49,могут,O,,,
50,быть,O,,,
51,использованы,O,,,
52,произвольные,O,,,
53,методы,B-TERM,B-TERM,,Q1799072:53
54,сжатия,I-TERM,,,
55,данных,I-TERM,,,
56,",",O,,,
57,причем,O,,,
58,прогнозные,B-TERM,,,
59,значения,I-TERM,,,
60,от,O,,,
61,разных,O,,,
62,методов,B-TERM,,,Q2695280:62
63,комбинируются,O,,,
64,",",O,,,
65,и,O,,,
66,наибольшее,O,,,
67,влияние,O,,,
68,на,O,,,
69,конечный,O,,,
70,результат,O,,,
71,оказывает,O,,,
72,метод,B-TERM,,,Q1799072:72
73,",",O,,,
74,способный,O,,,
75,сильнее,O,,,
76,других,O,,,
77,сжать,O,,,
78,временной,B-TERM,,,"Q186588:78,79"
79,ряд,I-TERM,B-TERM,,
80,.,O,,,
81,Данный,O,,,
82,алгоритм,B-TERM,,,
83,может,O,,,
84,быть,O,,,
85,использован,O,,,
86,для,O,,,
87,прогнозирования,B-TERM,,,
88,рядов,I-TERM,B-TERM,,Q186588:88
89,с,O,,,
90,дискретными,B-TERM,,,
91,и,O,,,
92,непрерывными,B-TERM,,,
93,алфавитами,I-TERM,,,
94,.,O,,,
95,Для,O,,,
96,повышения,O,,,
97,точности,B-TERM,,,
98,прогноза,I-TERM,,,
99,возможно,O,,,
100,применение,O,,,
101,существующих,O,,,
102,методов,B-TERM,B-TERM,,Q1799072:102
103,предварительной,I-TERM,,,
104,обработки,I-TERM,,,
105,данных,I-TERM,,,
106,.,O,,,
107,Экспериментальное,O,,,
108,исследование,O,,,
109,эффективности,O,,,
110,предложенного,O,,,
111,алгоритма,B-TERM,,,
112,проводилось,O,,,
113,на,O,,,
114,временных,B-TERM,,,"Q186588:114,115"
115,рядах,I-TERM,,,
116,из,O,,,
117,M3,B-TERM,,,
118,Competition,I-TERM,,,
119,и,O,,,
120,ряде,B-TERM,,,
121,T,I-TERM,,,
122,-,I-TERM,,,
123,индекса,I-TERM,,,
124,",",O,,,
125,при,O,,,
126,этом,O,,,
127,были,O,,,
128,использованы,O,,,
129,хорошо,O,,,
130,известные,O,,,
131,архиваторы,B-TERM,,,Q25303924:131
132,.,O,,,
133,Результаты,O,,,
134,вычислений,O,,,
135,показали,O,,,
136,",",O,,,
137,что,O,,,
138,полученный,O,,,
139,метод,B-TERM,,,
140,обладает,O,,,
141,сравнительно,O,,,
142,высокой,O,,,
143,точностью,B-TERM,,,Q272035:143
144,и,O,,,
145,быстродействием,B-TERM,,,Q71486:145
146,.,O,,,
