id,token,tag,nested_1,nested_2,wiki_id
0,Проектирование,O,,,
1,информационной,B-TERM,B-TERM,,"Q121182:1,2"
2,системы,I-TERM,I-TERM,B-TERM,
3,представления,I-TERM,B-TERM,,
4,результатов,I-TERM,I-TERM,,
5,комплексного,I-TERM,B-TERM,B-TERM,
6,анализа,I-TERM,I-TERM,I-TERM,
7,поэтических,I-TERM,I-TERM,B-TERM,
8,текстов,I-TERM,I-TERM,I-TERM,
,,,,,
9,В,O,,,
10,рамках,O,,,
11,проекта,O,,,
12,по,O,,,
13,автоматизации,O,,,
14,работы,O,,,
15,с,O,,,
16,поэтическими,B-TERM,,,
17,текстами,I-TERM,,,
18,",",O,,,
19,реализуемого,O,,,
20,на,O,,,
21,базе,O,,,
22,Института,O,,,
23,вычислительных,O,,,
24,технологий,O,,,
25,СО,O,,,
26,РАН,O,,,
27,",",O,,,
28,ведется,O,,,
29,комплекс,O,,,
30,исследований,O,,,
31,",",O,,,
32,связанных,O,,,
33,с,O,,,
34,анализом,B-TERM,B-TERM,,Q217602:34
35,поэтических,I-TERM,B-TERM,,
36,текстов,I-TERM,I-TERM,,
37,.,O,,,
38,Каждый,O,,,
39,компонент,O,,,
40,проекта,O,,,
41,относится,O,,,
42,к,O,,,
43,одному,O,,,
44,из,O,,,
45,структурных,B-TERM,B-TERM,,
46,уровней,I-TERM,I-TERM,,
47,анализа,I-TERM,B-TERM,B-TERM,Q217602:47
48,текста,I-TERM,I-TERM,B-TERM,Q234460:48
49,:,O,,,
50,структурный,B-TERM,,,
51,",",O,,,
52,семантический,B-TERM,,,
53,",",O,,,
54,прагматический,B-TERM,,,
55,.,O,,,
56,Структурный,B-TERM,B-TERM,,
57,анализ,I-TERM,I-TERM,B-TERM,Q217602:57
58,поэтического,I-TERM,B-TERM,,
59,текста,I-TERM,I-TERM,,
60,связан,O,,,
61,с,O,,,
62,выделением,O,,,
63,его,O,,,
64,метроритмических,B-TERM,,,
65,характеристик,I-TERM,,,
66,.,O,,,
67,В,O,,,
68,рамках,O,,,
69,семантического,B-TERM,,,"Q3614998:69,70"
70,анализа,I-TERM,B-TERM,,
71,ведутся,O,,,
72,исследования,O,,,
73,по,O,,,
74,выделению,O,,,
75,смысловых,B-TERM,,,
76,конструкций,I-TERM,,,
77,из,O,,,
78,произведения,O,,,
79,.,O,,,
80,Прагматический,B-TERM,,,
81,уровень,I-TERM,,,
82,включает,O,,,
83,в,O,,,
84,себя,O,,,
85,исследования,O,,,
86,по,O,,,
87,автоматическому,O,,,
88,определению,O,,,
89,высокоуровневых,B-TERM,B-TERM,,
90,характеристик,I-TERM,I-TERM,,
91,поэтического,I-TERM,B-TERM,,
92,текста,I-TERM,I-TERM,,
93,",",O,,,
94,таких,O,,,
95,как,O,,,
96,жанр,B-TERM,,,Q483394:96
97,и,O,,,
98,стиль,B-TERM,,,Q1292119:98
99,.,O,,,
100,В,O,,,
101,данной,O,,,
102,работе,O,,,
103,описан,O,,,
104,процесс,O,,,
105,проектирования,O,,,
106,и,O,,,
107,реализации,O,,,
108,информационной,B-TERM,B-TERM,,"Q121182:108,109"
109,системы,I-TERM,I-TERM,B-TERM,
110,представления,I-TERM,B-TERM,,
111,результатов,I-TERM,I-TERM,,
112,анализа,I-TERM,B-TERM,B-TERM,Q217602:112
113,поэтических,I-TERM,I-TERM,B-TERM,
114,текстов,I-TERM,I-TERM,I-TERM,
115,.,O,,,
116,На,O,,,
117,этапе,O,,,
118,проектирования,O,,,
119,сформулированы,O,,,
120,задачи,O,,,
121,",",O,,,
122,которые,O,,,
123,призвана,O,,,
124,решать,O,,,
125,информационная,B-TERM,,,"Q121182:125,126"
126,система,I-TERM,B-TERM,,
127,",",O,,,
128,а,O,,,
129,также,O,,,
130,изложены,O,,,
131,требования,O,,,
132,в,O,,,
133,порядке,O,,,
134,приоритета,O,,,
135,для,O,,,
136,общего,O,,,
137,проекта,O,,,
138,.,O,,,
139,Представленная,O,,,
140,информационная,B-TERM,,,"Q121182:140,141"
141,система,I-TERM,B-TERM,,
142,объединяет,O,,,
143,в,O,,,
144,себе,O,,,
145,разнородную,O,,,
146,информацию,O,,,
147,о,O,,,
148,результатах,O,,,
149,анализа,B-TERM,B-TERM,,Q217602:149
150,поэтических,I-TERM,B-TERM,,
151,текстов,I-TERM,I-TERM,,
152,",",O,,,
153,полученных,O,,,
154,на,O,,,
155,каждом,O,,,
156,из,O,,,
157,уровней,O,,,
158,представления,O,,,
159,.,O,,,
160,Исходя,O,,,
161,из,O,,,
162,потребностей,O,,,
163,потенциальных,O,,,
164,пользователей,O,,,
165,",",O,,,
166,выполнено,O,,,
167,описание,O,,,
168,внешних,O,,,
169,взаимодействующих,O,,,
170,элементов,O,,,
171,системы,B-TERM,,,Q121182:171
172,.,O,,,
173,Разработан,O,,,
174,тестовый,B-TERM,,,
175,интерфейс,I-TERM,B-TERM,,
176,для,O,,,
177,доступа,O,,,
178,к,O,,,
179,хранилищу,O,,,
180,информационной,B-TERM,,,"Q121182:180,181"
181,системы,I-TERM,B-TERM,,
182,.,O,,,
183,Реализация,O,,,
184,информационной,B-TERM,,,"Q121182:184,185"
185,системы,I-TERM,B-TERM,,
186,обеспечит,O,,,
187,существенное,O,,,
188,упрощение,O,,,
189,исследований,O,,,
190,поэтических,B-TERM,,,
191,текстов,I-TERM,,,
192,.,O,,,
