id,token,tag,nested_1,wiki_id
0,Применение,O,,
1,метода,B-TERM,B-TERM,"Q310401:1,2,3,4"
2,K,I-TERM,,
3,-,I-TERM,,
4,средних,I-TERM,,
5,для,O,,
6,идентификации,B-TERM,,
7,пользователя,I-TERM,B-TERM,Q278368:7
8,по,O,,
9,клавиатурному,B-TERM,,
10,почерку,I-TERM,,
11,В,O,,
12,данной,O,,
13,статье,O,,
14,рассматривается,O,,
15,проблема,O,,
16,защиты,B-TERM,,
17,от,I-TERM,,
18,несанкционированного,I-TERM,B-TERM,"Q4317610:18,19"
19,доступа,I-TERM,I-TERM,
20,к,O,,
21,данным,B-TERM,,Q42848:21
22,путем,O,,
23,идентификации,B-TERM,,
24,пользователей,I-TERM,B-TERM,Q278368:24
25,по,O,,
26,биометрическим,B-TERM,,"Q4086907:26,27"
27,характеристикам,I-TERM,,
28,",",O,,
29,а,O,,
30,именно,O,,
31,",",O,,
32,клавиатурному,B-TERM,,
33,почерку,I-TERM,,
34,.,O,,
35,Для,O,,
36,решения,O,,
37,этой,O,,
38,задачи,O,,
39,авторами,O,,
40,была,O,,
41,проведена,O,,
42,серия,O,,
43,опытов,O,,
44,для,O,,
45,получения,O,,
46,статистической,B-TERM,,"Q49906:46,47"
47,выборки,I-TERM,,
48,образцов,B-TERM,,
49,клавиатурного,I-TERM,B-TERM,
50,почерка,I-TERM,I-TERM,
51,",",O,,
52,которые,O,,
53,используются,O,,
54,в,O,,
55,качестве,O,,
56,биометрической,B-TERM,,"Q4086907:56,57"
57,характеристики,I-TERM,,
58,для,O,,
59,установления,B-TERM,,
60,личности,I-TERM,,
61,ее,O,,
62,владельца,O,,
63,.,O,,
64,Для,O,,
65,анализа,B-TERM,,"Q1988917:65,66"
66,данных,I-TERM,,
67,и,O,,
68,определения,B-TERM,,
69,автора,I-TERM,,
70,конкретного,O,,
71,образца,B-TERM,,
72,почерка,I-TERM,,
73,в,O,,
74,работе,O,,
75,рассматривается,O,,
76,метод,B-TERM,B-TERM,"Q310401:76,77,78,79"
77,k,I-TERM,,
78,-,I-TERM,,
79,средних,I-TERM,,
80,",",O,,
81,являющийся,O,,
82,одним,O,,
83,из,O,,
84,наиболее,O,,
85,простых,O,,
86,и,O,,
87,эффективных,O,,
88,статистических,B-TERM,,
89,методов,I-TERM,B-TERM,Q1799072:89
90,классификации,I-TERM,,
91,в,O,,
92,случае,O,,
93,",",O,,
94,когда,O,,
95,число,O,,
96,кластеров,B-TERM,,Q21157127:96
97,заранее,O,,
98,известно,O,,
99,.,O,,
100,Оценка,O,,
101,эффективности,O,,
102,предложенного,O,,
103,метода,B-TERM,,Q310401:103
104,для,O,,
105,решения,B-TERM,,Q21075690:105
106,поставленной,O,,
107,задачи,B-TERM,,Q759676:107
108,оценивается,O,,
109,с,O,,
110,помощью,O,,
111,коэффициентов,B-TERM,,
112,ложного,I-TERM,B-TERM,
113,доступа,I-TERM,I-TERM,
114,и,O,,
115,ложного,B-TERM,,
116,отказа,I-TERM,,
117,в,I-TERM,,
118,доступе,I-TERM,,
119,",",O,,
120,которые,O,,
121,являются,O,,
122,основными,O,,
123,характеристиками,B-TERM,,
124,биометрических,B-TERM,,"Q4086909:124,125,126"
125,систем,I-TERM,,
126,аутентификации,I-TERM,,
127,.,O,,
128,Полученные,O,,
129,результаты,O,,
130,позволяют,O,,
131,сделать,O,,
132,вывод,O,,
133,о,O,,
134,наличии,O,,
135,ряда,O,,
136,ограничений,O,,
137,при,O,,
138,использовании,O,,
139,данного,O,,
140,метода,B-TERM,,Q310401:140
141,",",O,,
142,возникающих,O,,
143,в,O,,
144,силу,O,,
145,того,O,,
146,",",O,,
147,что,O,,
148,данная,O,,
149,задача,O,,
150,является,O,,
151,слабоформализуемой,O,,
152,",",O,,
153,зависящей,O,,
154,от,O,,
155,множества,O,,
156,факторов,O,,
157,",",O,,
158,в,O,,
159,том,O,,
160,числе,O,,
161,и,O,,
162,не,O,,
163,поддающихся,O,,
164,математическому,B-TERM,,
165,описанию,I-TERM,,
166,",",O,,
167,таких,O,,
168,как,O,,
169,нестабильность,B-TERM,,
170,клавиатурного,I-TERM,B-TERM,
171,почерка,I-TERM,I-TERM,
172,",",O,,
173,объясняемая,O,,
174,изменением,O,,
175,психофизиологического,B-TERM,,
176,состояния,I-TERM,,
177,пользователя,I-TERM,B-TERM,Q278368:177
178,",",O,,
179,эргономичностью,B-TERM,,
180,клавиатуры,I-TERM,,
181,и,O,,
182,т,O,,
183,.,O,,
184,д,O,,
185,.,O,,
186,Учитывая,O,,
187,все,O,,
188,вышеупомянутые,O,,
189,особенности,O,,
190,",",O,,
191,дальнейшее,O,,
192,решение,O,,
193,задачи,O,,
194,предлагается,O,,
195,рассматривать,O,,
196,в,O,,
197,перспективе,O,,
198,использования,O,,
199,методов,O,,
200,",",O,,
201,основанных,O,,
202,на,O,,
203,интеллектуальной,B-TERM,,
204,обработке,I-TERM,,"Q750843:204,205"
205,данных,I-TERM,,
206,",",O,,
207,которые,O,,
208,позволяют,O,,
209,обнаруживать,O,,
210,в,O,,
211,потоке,B-TERM,,
212,данных,I-TERM,,
213,скрытые,O,,
214,закономерности,B-TERM,,Q4184950:214
215,и,O,,
216,зависимости,B-TERM,,Q74616419:216
217,.,O,,
