id,token,tag,wiki_id
0,Разработка,O,
1,программных,B-TERM,"Q7397:1,2"
2,средств,I-TERM,
3,прозрачного,I-TERM,
4,удаленного,I-TERM,
5,доступа,I-TERM,
6,к,O,
7,технологическим,B-TERM,
8,параметрам,I-TERM,
9,бурения,I-TERM,
10,и,O,
11,данным,O,
12,скважинной,B-TERM,
13,телеметрической,I-TERM,
14,системы,I-TERM,
15,в,O,
16,условиях,O,
17,нестабильной,B-TERM,
18,связи,I-TERM,
19,В,O,
20,процессе,O,
21,бурения,B-TERM,
22,нефтегазовых,I-TERM,
23,скважин,I-TERM,
24,требуется,O,
25,оказание,O,
26,удаленной,B-TERM,
27,поддержки,I-TERM,
28,с,O,
29,использованием,O,
30,существующих,O,
31,каналов,B-TERM,"Q733553:31,32"
32,связи,I-TERM,
33,с,O,
34,офисом,O,
35,",",O,
36,заключающейся,O,
37,в,O,
38,контроле,B-TERM,
39,параметров,I-TERM,
40,и,O,
41,принятии,B-TERM,
42,неотложных,I-TERM,
43,решений,I-TERM,
44,.,O,
45,Наиболее,O,
46,распространена,O,
47,спутниковая,B-TERM,Q6482692:47
48,и,O,
49,мобильная,B-TERM,
50,связь,I-TERM,
51,",",O,
52,для,O,
53,которой,O,
54,характерна,O,
55,низкая,O,
56,скорость,B-TERM,
57,приема,I-TERM,
58,и,O,
59,передачи,B-TERM,"Q389772:59,60"
60,данных,I-TERM,
61,",",O,
62,частые,O,
63,разрывы,B-TERM,Q23009452:63
64,",",O,
65,использование,B-TERM,
66,NAT,I-TERM,Q11182:66
67,.,O,
68,В,O,
69,рамках,O,
70,данной,O,
71,работы,O,
72,разработано,O,
73,программное,B-TERM,"Q7397:73,74"
74,средство,I-TERM,
75,прозрачного,I-TERM,
76,доступа,I-TERM,
77,к,O,
78,параметрам,B-TERM,
79,бурения,I-TERM,
80,и,O,
81,данным,O,
82,скважинной,B-TERM,
83,телеметрической,I-TERM,
84,системы,I-TERM,
85,с,O,
86,целью,O,
87,организации,O,
88,удаленного,B-TERM,
89,сопровождения,I-TERM,
90,по,O,
91,существующим,O,
92,каналам,B-TERM,"Q733553:92,93"
93,связи,I-TERM,
94,с,O,
95,учетом,O,
96,их,O,
97,ограничений,O,
98,.,O,
99,В,O,
100,основу,O,
101,программного,B-TERM,"Q7397:101,102"
102,средства,I-TERM,
103,легла,O,
104,реализация,O,
105,протокола,B-TERM,"Q170460:105,106"
106,SSH,I-TERM,
107,",",O,
108,что,O,
109,обеспечило,O,
110,сжатие,B-TERM,Q2493:110
111,и,O,
112,шифрование,B-TERM,
113,передаваемых,I-TERM,
114,данных,I-TERM,
115,и,O,
116,прозрачный,B-TERM,
117,доступ,I-TERM,
118,к,O,
119,TCP,B-TERM,
120,-,I-TERM,
121,сервисам,I-TERM,
122,на,O,
123,буровой,B-TERM,
124,.,O,
125,Благодаря,O,
126,этому,O,
127,возможно,O,
128,использование,O,
129,существующего,O,
130,ПО,B-TERM,Q7397:130
131,для,O,
132,доступа,O,
133,к,O,
134,данным,O,
135,телеметрической,B-TERM,
136,системы,I-TERM,
137,",",O,
138,что,O,
139,позволяет,O,
140,снизить,O,
141,объем,B-TERM,
142,передаваемых,I-TERM,
143,данных,I-TERM,
144,в,O,
145,сравнении,O,
146,с,O,
147,ПО,B-TERM,Q7397:147
148,удаленных,I-TERM,"Q1200186:148,149,150"
149,рабочих,I-TERM,
150,столов,I-TERM,
151,.,O,
152,Программное,B-TERM,"Q7397:152,153"
153,средство,I-TERM,
154,прошло,O,
155,апробацию,O,
156,в,O,
157,условиях,O,
158,",",O,
159,близким,O,
160,к,O,
161,полевым,O,
162,",",O,
163,и,O,
164,показало,O,
165,свою,O,
166,пригодность,O,
167,к,O,
168,решению,O,
169,поставленных,O,
170,задач,O,
171,.,O,
