id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Разработка,B-TERM,,,,
1,мобильного,I-TERM,B-TERM,,,"Q620615:1,2"
2,приложения,I-TERM,I-TERM,,,
3,визуализации,I-TERM,B-TERM,,,
4,технических,I-TERM,I-TERM,B-TERM,B-TERM,
5,характеристик,I-TERM,I-TERM,I-TERM,I-TERM,
6,устройств,I-TERM,I-TERM,I-TERM,,
7,под,O,,,,
8,OC,B-TERM,,,,"Q94:8,9"
9,Android,I-TERM,B-TERM,,,
10,на,O,,,,
11,базе,O,,,,
12,технологий,B-TERM,,,,"Q254183:12,13,14"
13,дополненной,I-TERM,,,,
14,реальности,I-TERM,,,,
15,и,O,,,,
16,методов,B-TERM,,,,
17,машинного,I-TERM,B-TERM,,,"Q2539:17,18"
18,обучения,I-TERM,I-TERM,,,
19,В,O,,,,
20,последнее,O,,,,
21,время,O,,,,
22,увеличивается,O,,,,
23,количество,O,,,,
24,окружающих,O,,,,
25,нас,O,,,,
26,электронных,B-TERM,,,,"Q2858615:26,27"
27,приборов,I-TERM,,,,
28,",",O,,,,
29,возрастает,O,,,,
30,и,O,,,,
31,их,O,,,,
32,техническая,B-TERM,,,,
33,сложность,I-TERM,,,,
34,.,O,,,,
35,В,O,,,,
36,то,O,,,,
37,же,O,,,,
38,время,O,,,,
39,инструкции,B-TERM,,,,
40,к,O,,,,
41,данным,O,,,,
42,приборам,B-TERM,,,,Q2858615:42
43,читает,O,,,,
44,только,O,,,,
45,малая,O,,,,
46,часть,O,,,,
47,людей,O,,,,
48,.,O,,,,
49,Также,O,,,,
50,возможны,O,,,,
51,ситуации,O,,,,
52,",",O,,,,
53,когда,O,,,,
54,инструкции,B-TERM,,,,
55,или,O,,,,
56,специалиста,B-TERM,,,,Q702269:56
57,нет,O,,,,
58,рядом,O,,,,
59,с,O,,,,
60,устройством,B-TERM,,,,Q2858615:60
61,.,O,,,,
62,Поэтому,O,,,,
63,часто,O,,,,
64,встречаются,O,,,,
65,случаи,O,,,,
66,неправильного,O,,,,
67,использования,O,,,,
68,техники,B-TERM,,,,Q2858615:68
69,.,O,,,,
70,В,O,,,,
71,связи,O,,,,
72,с,O,,,,
73,этим,O,,,,
74,закономерно,O,,,,
75,встает,O,,,,
76,задача,B-TERM,,,,
77,быстрого,I-TERM,,,,
78,распознавания,I-TERM,,,,
79,типа,I-TERM,B-TERM,,,
80,устройства,I-TERM,I-TERM,B-TERM,,Q2858615:80
81,с,O,,,,
82,последующим,O,,,,
83,выводом,B-TERM,,,,
84,информации,I-TERM,,,,
85,о,I-TERM,,,,
86,данном,I-TERM,,,,
87,устройстве,I-TERM,B-TERM,,,Q2858615:87
88,.,O,,,,
89,В,O,,,,
90,работе,O,,,,
91,описывается,O,,,,
92,процесс,B-TERM,,,,
93,реализации,I-TERM,,,,
94,системы,I-TERM,B-TERM,,,
95,распознавания,I-TERM,I-TERM,,,
96,типа,I-TERM,I-TERM,B-TERM,,
97,устройства,I-TERM,I-TERM,I-TERM,B-TERM,Q2858615:97
98,с,O,,,,
99,использованием,O,,,,
100,методов,B-TERM,,,,
101,машинного,I-TERM,B-TERM,,,"Q2539:101,102"
102,обучения,I-TERM,I-TERM,,,
103,",",O,,,,
104,с,O,,,,
105,последующим,O,,,,
106,выводом,B-TERM,,,,
107,на,O,,,,
108,экран,B-TERM,,,,Q327065:108
109,его,O,,,,
110,основных,O,,,,
111,заранее,O,,,,
112,отобранных,O,,,,
113,характеристик,B-TERM,,,,
114,и,O,,,,
115,отображением,O,,,,
116,пользователю,B-TERM,,,,Q278368:116
117,набора,O,,,,
118,вероятных,O,,,,
119,инструкций,B-TERM,,,,
120,для,O,,,,
121,данного,O,,,,
122,типа,B-TERM,,,,
123,устройств,I-TERM,B-TERM,,,Q2858615:123
124,.,O,,,,
125,Поскольку,O,,,,
126,направлением,O,,,,
127,данной,O,,,,
128,работы,O,,,,
129,является,O,,,,
130,нахождение,B-TERM,,,,
131,похожих,I-TERM,,,,
132,объектов,I-TERM,,,,
133,",",O,,,,
134,а,O,,,,
135,также,O,,,,
136,их,O,,,,
137,классификация,B-TERM,,,,Q5962346:137
138,на,O,,,,
139,основе,O,,,,
140,информации,B-TERM,,,,
141,о,I-TERM,,,,
142,внешнем,I-TERM,B-TERM,B-TERM,,
143,представлении,I-TERM,I-TERM,I-TERM,,
144,объекта,I-TERM,I-TERM,,,
145,",",O,,,,
146,то,O,,,,
147,рассматриваются,O,,,,
148,алгоритмы,B-TERM,,,,
149,получения,I-TERM,,,,
150,признаков,I-TERM,,,,
151,объекта,I-TERM,,,,
152,из,O,,,,
153,его,O,,,,
154,изображения,B-TERM,,,,Q478798:154
155,.,O,,,,
156,В,O,,,,
157,статье,O,,,,
158,предлагается,O,,,,
159,подход,B-TERM,,,,
160,получения,I-TERM,,,,
161,определяющих,I-TERM,,,,
162,признаков,I-TERM,,,,
163,объекта,I-TERM,,,,
164,на,O,,,,
165,основе,O,,,,
166,его,O,,,,
167,внешнего,B-TERM,,,,
168,представления,I-TERM,,,,
169,(,O,,,,
170,контуров,B-TERM,,,,
171,).,O,,,,
