id,token,tag,nested_1,nested_2,wiki_id
0,Математическое,B-TERM,B-TERM,,"Q12121859:0,1"
1,моделирование,I-TERM,I-TERM,,
2,упругопластических,I-TERM,,,
3,деформаций,I-TERM,,,
4,для,O,,,
5,задач,B-TERM,,,
6,образования,I-TERM,,,
7,и,O,,,
8,эволюции,B-TERM,,,
9,геологических,I-TERM,B-TERM,,
10,трещин,I-TERM,I-TERM,B-TERM,
11,Представлена,O,,,
12,математическая,B-TERM,B-TERM,,"Q486902:12,13"
13,модель,I-TERM,I-TERM,,
14,упругопластических,I-TERM,B-TERM,,
15,сред,I-TERM,I-TERM,,
16,с,O,,,
17,учетом,O,,,
18,фазовых,B-TERM,,,"Q185357:18,19"
19,переходов,I-TERM,,,
20,между,O,,,
21,твердым,B-TERM,,,"Q11438:21,22"
22,телом,I-TERM,,,
23,",",O,,,
24,жидкостью,B-TERM,,,Q11435:24
25,и,O,,,
26,газом,B-TERM,,,Q11432:26
27,.,O,,,
28,Также,O,,,
29,учтен,O,,,
30,процесс,B-TERM,,,
31,откола,I-TERM,,,
32,вещества,I-TERM,,,
33,от,O,,,
34,газовой,B-TERM,,,
35,фазы,I-TERM,,,
36,.,O,,,
37,Сформулирован,O,,,
38,один,O,,,
39,из,O,,,
40,подходов,O,,,
41,к,O,,,
42,записи,O,,,
43,уравнения,B-TERM,B-TERM,,"Q214967:43,44"
44,состояния,I-TERM,I-TERM,,
45,упругопластических,I-TERM,B-TERM,,
46,сред,I-TERM,I-TERM,,
47,",",O,,,
48,выписаны,O,,,
49,основные,O,,,
50,инварианты,B-TERM,,,Q2370229:50
51,",",O,,,
52,используемые,O,,,
53,для,O,,,
54,построения,O,,,
55,уравнения,B-TERM,,,"Q214967:55,56"
56,состояния,I-TERM,,,
57,.,O,,,
58,Представлены,O,,,
59,результаты,O,,,
60,математического,B-TERM,B-TERM,,"Q12121859:60,61"
61,моделирования,I-TERM,I-TERM,,
62,геологических,I-TERM,,,
63,деформаций,I-TERM,,,
64,",",O,,,
65,приводящих,O,,,
66,к,O,,,
67,образованию,B-TERM,,,
68,трещин,I-TERM,B-TERM,,
69,.,O,,,
