id,token,tag,nested_1,nested_2,nested_3,nested_4,wiki_id
0,Формирование,B-TERM,,,,,
1,базового,I-TERM,B-TERM,,,,
2,словаря,I-TERM,I-TERM,B-TERM,,,
3,жестов,I-TERM,I-TERM,I-TERM,B-TERM,,Q658018:3
4,для,O,,,,,
5,естественного,B-TERM,,,,,
6,компьютерного,I-TERM,B-TERM,,,,
7,бесконтактного,I-TERM,I-TERM,B-TERM,,,
8,интерфейса,I-TERM,I-TERM,I-TERM,,,
9,Исследуются,O,,,,,
10,возможности,O,,,,,
11,бесконтактных,B-TERM,,,,,
12,систем,I-TERM,B-TERM,,,,
13,и,O,,,,,
14,интерфейсов,B-TERM,,,,,
15,",",O,,,,,
16,главные,O,,,,,
17,принципы,O,,,,,
18,работы,O,,,,,
19,с,O,,,,,
20,такими,O,,,,,
21,технологиями,B-TERM,,,,,Q11016:21
22,.,O,,,,,
23,Рассмотрена,O,,,,,
24,возможность,O,,,,,
25,применения,O,,,,,
26,подобных,O,,,,,
27,систем,B-TERM,,,,,
28,для,O,,,,,
29,упрощения,O,,,,,
30,взаимодействия,B-TERM,,,,,
31,пользователей,I-TERM,B-TERM,,,,
32,с,I-TERM,I-TERM,,,,
33,ограничениями,I-TERM,I-TERM,,,,
34,возможностями,I-TERM,I-TERM,,,,
35,здоровья,I-TERM,I-TERM,,,,
36,с,O,,,,,
37,компьютерным,B-TERM,,,,,"Q47146:37,38"
38,интерфейсом,I-TERM,,,,,
39,.,O,,,,,
40,Приведены,O,,,,,
41,особенности,O,,,,,
42,и,O,,,,,
43,преимущества,O,,,,,
44,использования,O,,,,,
45,естественных,B-TERM,,,,,
46,интерфейсов,I-TERM,,,,,
47,и,O,,,,,
48,систем,B-TERM,,,,,
49,",",O,,,,,
50,основанных,O,,,,,
51,на,O,,,,,
52,жестовом,B-TERM,,,,,
53,управлении,I-TERM,,,,,
54,.,O,,,,,
55,Также,O,,,,,
56,детально,O,,,,,
57,рассмотрены,O,,,,,
58,этапы,B-TERM,,,,,
59,формирования,I-TERM,B-TERM,,,,
60,базового,I-TERM,I-TERM,B-TERM,,,
61,словаря,I-TERM,I-TERM,I-TERM,B-TERM,,
62,жестов,I-TERM,I-TERM,I-TERM,I-TERM,B-TERM,Q658018:62
63,для,O,,,,,
64,дальнейшего,O,,,,,
65,его,O,,,,,
66,применения,O,,,,,
67,в,O,,,,,
68,бесконтактном,B-TERM,,,,,
69,интерфейсе,I-TERM,,,,,
70,.,O,,,,,
71,В,O,,,,,
72,качестве,O,,,,,
73,дополнительного,O,,,,,
74,аппаратного,B-TERM,,,,,"Q3966:74,75"
75,обеспечения,I-TERM,,,,,
76,для,O,,,,,
77,получения,O,,,,,
78,более,O,,,,,
79,точных,O,,,,,
80,результатов,B-TERM,,,,,
81,распознавания,I-TERM,,,,,
82,таких,O,,,,,
83,жестов,B-TERM,,,,,Q371174:83
84,рассмотрено,O,,,,,
85,устройство,B-TERM,,,,,"Q474334:85,86,87"
86,Microsoft,I-TERM,B-TERM,,,,
87,Kinect,I-TERM,I-TERM,,,,
88,.,O,,,,,
