id,token,tag,nested_1,wiki_id
0,Метод,B-TERM,B-TERM,Q1799072:0
1,проверки,I-TERM,,
2,гипотез,I-TERM,,
3,на,O,,
4,базе,O,,
5,статистической,B-TERM,B-TERM,
6,обработки,I-TERM,I-TERM,
7,разнородных,I-TERM,,
8,электроэнцефалографических,I-TERM,B-TERM,
9,данных,I-TERM,I-TERM,
,,,,
10,Предложен,O,,
11,подход,B-TERM,,Q1799072:11
12,для,O,,
13,автоматизации,O,,
14,проверки,O,,
15,гипотез,O,,
16,на,O,,
17,основе,O,,
18,обработки,O,,
19,разнородных,O,,
20,ЭЭГ,B-TERM,,
21,-,I-TERM,,
22,данных,I-TERM,,
23,.,O,,
24,Подход,B-TERM,,Q1799072:24
25,базируется,O,,
26,на,O,,
27,наборе,O,,
28,MATLAB,B-TERM,,
29,-,I-TERM,,
30,скриптов,I-TERM,,
31,",",O,,
32,использующих,O,,
33,библиотеки,O,,
34,EEGLAB,B-TERM,,Q5322923:34
35,",",O,,
36,NeuroElf,B-TERM,,
37,",",O,,
38,Alphasim,B-TERM,,Q4734957:38
39,",",O,,
40,spm8,B-TERM,,Q41569758:40
41,",",O,,
42,Mediation,B-TERM,,
43,toolbox,I-TERM,,
44,",",O,,
45,и,O,,
46,программном,B-TERM,B-TERM,"Q1995545:46,47"
47,пакете,I-TERM,I-TERM,
48,sLORETA,I-TERM,B-TERM,
49,.,O,,
50,Разработанный,O,,
51,инструментарий,B-TERM,,
52,позволяет,O,,
53,проводить,O,,
54,унификацию,O,,
55,ЭЭГ,B-TERM,,
56,-,I-TERM,,
57,записей,I-TERM,,
58,",",O,,
59,сделанных,O,,
60,на,O,,
61,различном,O,,
62,оборудовании,O,,
63,",",O,,
64,восстановление,O,,
65,утраченных,O,,
66,данных,O,,
67,",",O,,
68,3Dреконструкцию,B-TERM,,Q4464732:68
69,источников,O,,
70,мозговой,B-TERM,,
71,активности,I-TERM,,
72,по,O,,
73,исходным,O,,
74,ЭЭГ,B-TERM,,
75,-,I-TERM,,
76,данным,I-TERM,,
77,и,O,,
78,медиационный,B-TERM,,
79,анализ,I-TERM,,
80,.,O,,
