id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Платформа,B-TERM,,,,
1,комплексирования,I-TERM,B-TERM,,,
2,и,I-TERM,,,,
3,тестирования,I-TERM,B-TERM,B-TERM,,Q188522:3
4,средств,I-TERM,I-TERM,B-TERM,B-TERM,Q39546:4
5,трансформации,I-TERM,I-TERM,I-TERM,B-TERM,Q65757353:5
6,естественно,B-TERM,,,,
7,-,I-TERM,,,,
8,языковых,I-TERM,,,,
9,запросов,I-TERM,B-TERM,,,Q3428776:9
10,в,O,,,,
11,SPARQL,B-TERM,,,,"Q62522500:11,12,13"
12,-,I-TERM,,,,
13,запросы,I-TERM,B-TERM,,,
14,Статья,O,,,,
15,посвящена,O,,,,
16,вопросу,O,,,,
17,поддержки,O,,,,
18,процесса,O,,,,
19,создания,O,,,,
20,средства,B-TERM,B-TERM,,,Q39546:20
21,трансформации,I-TERM,B-TERM,,,Q65757353:21
22,естественно,I-TERM,B-TERM,,,
23,-,I-TERM,I-TERM,,,
24,языковых,I-TERM,I-TERM,,,
25,(,O,,,,
26,ЕЯ,B-TERM,,,,
27,),O,,,,
28,запросов,B-TERM,,,,Q3428776:28
29,в,O,,,,
30,SPARQL,B-TERM,,,,"Q62522500:30,31,32"
31,-,I-TERM,,,,
32,запросы,I-TERM,B-TERM,,,
33,(,O,,,,
34,далее,O,,,,
35,–,O,,,,
36,средство,B-TERM,B-TERM,,,Q39546:36
37,трансформации,I-TERM,B-TERM,,,Q65757353:37
38,).,O,,,,
39,Во,O,,,,
40,введении,O,,,,
41,описаны,O,,,,
42,актуальность,O,,,,
43,задачи,B-TERM,,,,
44,понимания,I-TERM,,,,
45,естественно,I-TERM,B-TERM,,,
46,-,I-TERM,I-TERM,,,
47,языковых,I-TERM,I-TERM,,,
48,запросов,I-TERM,I-TERM,,,
49,информационными,B-TERM,,,,"Q121182:49,50"
50,системами,I-TERM,,,,
51,",",O,,,,
52,а,O,,,,
53,также,O,,,,
54,преимущества,O,,,,
55,использования,O,,,,
56,онтологий,B-TERM,,,,Q324254:56
57,как,O,,,,
58,средства,O,,,,
59,представления,B-TERM,,,,"Q3478658:59,60"
60,знаний,I-TERM,,,,
61,для,O,,,,
62,решения,O,,,,
63,данной,O,,,,
64,задачи,B-TERM,,,,Q759676:64
65,.,O,,,,
66,Обозначена,O,,,,
67,роль,O,,,,
68,средств,B-TERM,B-TERM,,,Q39546:68
69,трансформации,I-TERM,B-TERM,,,Q65757353:69
70,в,O,,,,
71,системах,B-TERM,,,,
72,с,I-TERM,,,,
73,ЕЯ,I-TERM,B-TERM,,,
74,-,I-TERM,I-TERM,,,
75,запросами,I-TERM,I-TERM,B-TERM,,Q3428776:75
76,к,O,,,,
77,реляционным,B-TERM,,,,"Q192588:77,78,79"
78,базам,I-TERM,,,,
79,данных,I-TERM,,,,
80,.,O,,,,
81,На,O,,,,
82,основании,O,,,,
83,анализа,B-TERM,,,,
84,проблем,I-TERM,,,,
85,",",O,,,,
86,связанных,O,,,,
87,с,O,,,,
88,комплексированием,B-TERM,,,,
89,и,O,,,,
90,тестированием,B-TERM,,,,Q188522:90
91,существующих,O,,,,
92,средств,B-TERM,B-TERM,,,Q39546:92
93,трансформации,I-TERM,B-TERM,,,Q65757353:93
94,",",O,,,,
95,а,O,,,,
96,также,O,,,,
97,с,O,,,,
98,целью,O,,,,
99,поддержки,O,,,,
100,создания,B-TERM,,,,
101,и,O,,,,
102,тестирования,B-TERM,,,,Q188522:102
